voltage,current,time
40,0.28864,200
39.71014,0.28864,202.4155
37.68116,0.29091,219.3236667
35.07246,0.31364,241.0628333
33.04348,0.33182,257.971
30.43478,0.35909,279.7101667
28.11594,0.38409,299.0338333
25.50725,0.41818,320.7729167
23.04348,0.45227,341.3043333
21.30435,0.47955,355.7970833
19.62135,0.50666,369.8220833
16.7279,0.55298,393.9341667
13.97224,0.60246,416.898
11.35436,0.64944,438.7136667
8.87426,0.69553,459.3811667
6.39416,0.74283,480.0486667
3.77628,0.79238,501.8643333
1.29618,0.83484,522.5318333
-0.57971,0.86818,538.16425
-2.89855,0.90227,557.4879167
-4.92754,0.92955,574.3961667
-7.24638,0.95682,593.7198333
-9.42029,0.975,611.83575
-12.17391,0.98409,634.7825833
-14.78261,0.98409,656.52175
-16.81159,0.96818,673.4299167
-19.13043,0.94773,692.7535833
-22.02899,0.90227,716.90825
-23.76812,0.86136,731.401
-25.50725,0.825,745.89375
-26.81159,0.78864,756.76325
-28.46499,0.73959,770.5415833
-30.11839,0.68881,784.3199167
-31.63401,0.6394,796.9500833
-33.14962,0.59302,809.5801667
-34.80302,0.53756,823.3585
-36.31864,0.486,835.9886667
-37.69647,0.44235,847.4705833
-39.21208,0.39316,860.1006667
-40.7277,0.34858,872.7308333
-42.3811,0.29968,886.5091667
-44.31006,0.24793,902.5838333
-46.34925,0.19625,919.5770833
-48.99469,0.14528,941.6224167
-51.75036,0.09868,964.5863333
-54.78159,0.05802,989.8465833
-57.81282,0.02718,1015.106833
-60.84405,0.00341,1040.367083
-62.63523,-0.00621,1055.293583
-65.7971,-0.025,1081.6425
-69.56522,-0.03182,1113.0435
-72.75362,-0.03864,1139.6135
-77.10145,-0.04545,1175.845417
-80,-0.04773,1200
