voltage,current
-79.86528,0.00135
-77.53623,0.025
-75.21739,0.05455
-73.52011,0.08199
-70.76444,0.12751
-68.42213,0.17097
-66.2176,0.21688
-64.01306,0.26496
-61.94632,0.3145
-60.01735,0.36234
-58.08839,0.41142
-56.15942,0.46143
-54.23046,0.51359
-52.30149,0.56514
-50.51031,0.61211
-48.71913,0.65867
-46.584,0.71215
-44.44785,0.76698
-42.24331,0.8135
-39.901,0.86095
-37.14534,0.90796
-34.49275,0.94545
-32.46377,0.96591
-29.85507,0.98409
-26.66667,0.99545
-23.76812,0.98864
-20.57971,0.97273
-17.97101,0.95
-15.07246,0.92045
-12.6087,0.88636
-10.27046,0.85066
-8.1361,0.81537
-5.86854,0.77531
-3.92121,0.74241
-1.87283,0.70682
-0.30414,0.67945
1.31412,0.64907
3.50071,0.60894
5.64503,0.57083
7.77199,0.53573
10.01684,0.49944
12.45662,0.4607
15.48785,0.41689
17.68116,0.38636
19.89692,0.35954
22.92815,0.32477
25.95938,0.29452
28.26597,0.27168
30.98317,0.24947
33.95081,0.22743
36.81159,0.20909
40,0.2
