time,voltage
0,-80
250,-80
250.1,-120
300,-120
300.1,-80
500,-80
500.1,40
1500,40
1500.1,-120
2000,-120
2000.1,-80
3000,-80
3000.1,-51.01417323
3000.2,-50.82163223
3000.3,-50.6314774
3000.4,-50.44375869
3000.5,-50.25852511
3000.6,-50.07582476
3000.7,-49.89570475
3000.8,-49.71821124
3000.9,-49.54338937
3001,-49.37128331
3001.1,-49.20193616
3001.2,-49.03539003
3001.3,-48.87168595
3001.4,-48.71086389
3001.5,-48.55296274
3001.6,-48.39802029
3001.7,-48.24607323
3001.8,-48.09715713
3001.9,-47.95130641
3002,-47.80855436
3002.1,-47.66893312
3002.2,-47.53247365
3002.3,-47.39920573
3002.4,-47.26915797
3002.5,-47.14235775
3002.6,-47.01883127
3002.7,-46.8986035
3002.8,-46.78169818
3002.9,-46.66813783
3003,-46.55794373
3003.1,-46.45113588
3003.2,-46.34773306
3003.3,-46.24775278
3003.4,-46.15121126
3003.5,-46.05812348
3003.6,-45.96850312
3003.7,-45.88236259
3003.8,-45.79971299
3003.9,-45.72056415
3004,-45.64492461
3004.1,-45.57280161
3004.2,-45.50420107
3004.3,-45.43912765
3004.4,-45.37758467
3004.5,-45.31957418
3004.6,-45.2650969
3004.7,-45.21415226
3004.8,-45.1667384
3004.9,-45.12285215
3005,-45.08248903
3005.1,-45.04564328
3005.2,-45.01230784
3005.3,-44.98247436
3005.4,-44.9561332
3005.5,-44.93327344
3005.6,-44.91388287
3005.7,-44.89794802
3005.8,-44.88545414
3005.9,-44.87638523
3006,-44.87072402
3006.1,-44.868452
3006.2,-44.86954939
3006.3,-44.87399521
3006.4,-44.88176724
3006.5,-44.89284203
3006.6,-44.90719493
3006.7,-44.92480008
3006.8,-44.94563044
3006.9,-44.96965779
3007,-44.99685272
3007.1,-45.02718469
3007.2,-45.06062198
3007.3,-45.09713176
3007.4,-45.13668006
3007.5,-45.17923182
3007.6,-45.22475085
3007.7,-45.27319991
3007.8,-45.32454065
3007.9,-45.37873372
3008,-45.43573867
3008.1,-45.49551405
3008.2,-45.55801741
3008.3,-45.62320529
3008.4,-45.69103325
3008.5,-45.7614559
3008.6,-45.83442688
3008.7,-45.90989893
3008.8,-45.98782386
3008.9,-46.06815259
3009,-46.15083518
3009.1,-46.23582081
3009.2,-46.32305783
3009.3,-46.41249379
3009.4,-46.50407541
3009.5,-46.59774865
3009.6,-46.69345871
3009.7,-46.79115005
3009.8,-46.8907664
3009.9,-46.9922508
3010,-47.09554561
3010.1,-47.20059254
3010.2,-47.30733267
3010.3,-47.41570645
3010.4,-47.52565375
3010.5,-47.63711387
3010.6,-47.75002557
3010.7,-47.86432707
3010.8,-47.97995611
3010.9,-48.09684993
3011,-48.21494534
3011.1,-48.3341787
3011.2,-48.45448597
3011.3,-48.57580271
3011.4,-48.69806414
3011.5,-48.82120514
3011.6,-48.94516026
3011.7,-49.06986378
3011.8,-49.1952497
3011.9,-49.3212518
3012,-49.44780362
3012.1,-49.57483852
3012.2,-49.7022897
3012.3,-49.8300902
3012.4,-49.95817295
3012.5,-50.0864708
3012.6,-50.2149165
3012.7,-50.34344279
3012.8,-50.47198237
3012.9,-50.60046795
3013,-50.72883227
3013.1,-50.85700813
3013.2,-50.98492841
3013.3,-51.11252608
3013.4,-51.23973425
3013.5,-51.36648619
3013.6,-51.49271534
3013.7,-51.61835534
3013.8,-51.74334005
3013.9,-51.86760361
3014,-51.99108041
3014.1,-52.11370514
3014.2,-52.23541283
3014.3,-52.35613885
3014.4,-52.47581892
3014.5,-52.5943892
3014.6,-52.71178622
3014.7,-52.82794699
3014.8,-52.94280896
3014.9,-53.05631008
3015,-53.16838882
3015.1,-53.27898415
3015.2,-53.38803564
3015.3,-53.4954834
3015.4,-53.60126816
3015.5,-53.70533128
3015.6,-53.80761474
3015.7,-53.90806121
3015.8,-54.00661401
3015.9,-54.10321722
3016,-54.1978156
3016.1,-54.29035469
3016.2,-54.38078077
3016.3,-54.46904094
3016.4,-54.55508308
3016.5,-54.63885591
3016.6,-54.720309
3016.7,-54.79939277
3016.8,-54.87605854
3016.9,-54.95025852
3017,-55.02194584
3017.1,-55.09107456
3017.2,-55.1575997
3017.3,-55.22147727
3017.4,-55.28266422
3017.5,-55.34111853
3017.6,-55.39679921
3017.7,-55.44966627
3017.8,-55.4996808
3017.9,-55.54680493
3018,-55.59100187
3018.1,-55.63223592
3018.2,-55.67047249
3018.3,-55.70567811
3018.4,-55.73782041
3018.5,-55.76686821
3018.6,-55.79279143
3018.7,-55.81556118
3018.8,-55.83514975
3018.9,-55.8515306
3019,-55.8646784
3019.1,-55.87456901
3019.2,-55.88117952
3019.3,-55.88448821
