time,1,2,3,4,5,6
0,-80,-80,-80,-80,-80,-80
331.3,-80,-80,-80,-80,-80,-80
331.4,-120,-120,-120,-120,-120,-120
381.3,-120,-120,-120,-120,-120,-120
381.4,-80,-80,-80,-80,-80,-80
581.3,-80,-80,-80,-80,-80,-80
581.4,40,40,40,40,40,40
584.3,40,40,40,40,40,40
584.4,-120,40,40,40,40,40
591.2,-120,40,40,40,40,40
591.3,-120,-120,40,40,40,40
611.2,-120,-120,40,40,40,40
611.3,-120,-120,-120,40,40,40
681.2,-120,-120,-120,40,40,40
681.3,-120,-120,-120,-120,40,40
881.2,-120,-120,-120,-120,40,40
881.3,-120,-120,-120,-120,-120,40
1579.5,-120,-120,-120,-120,-120,40
1579.6,-120,-120,-120,-120,-120,-120
3084.3,-120,-120,-120,-120,-120,-120
3084.4,-80,-120,-120,-120,-120,-120
3091.2,-80,-120,-120,-120,-120,-120
3091.3,-80,-80,-120,-120,-120,-120
3110.6,-80,-80,-120,-120,-120,-120
3110.7,-80,-80,-80,-120,-120,-120
3179.8,-80,-80,-80,-120,-120,-120
3179.9,-80,-80,-80,-80,-120,-120
3381.2,-80,-80,-80,-80,-120,-120
3381.3,-80,-80,-80,-80,-80,-120
4078.4,-80,-80,-80,-80,-80,-120
4078.5,-80,-80,-80,-80,-80,-80
5198.2,-80,-80,-80,-80,-80,-80
