time,voltage
0,-87.74566
3.35223,-87.74566
6.18772,23.05731
8.14576,37.1138
9.87306,40.54983
30.75663,38.33416
49.18331,34.28112
67.60999,29.85395
86.03667,25.80091
104.46335,21.68551
122.89003,17.75718
141.31671,13.2053
159.74339,7.7181
178.17007,0.48498
193.52564,-8.46289
204.27453,-17.2237
213.48787,-25.5792
222.70121,-34.68296
231.91455,-44.53497
241.12789,-54.38699
250.34123,-64.36371
259.55457,-74.09101
273.37458,-84.13009
291.80126,-86.99839
310.22794,-87.62194
328.65462,-87.68429
347.0813,-87.68429
365.50798,-87.68429
383.93466,-87.68429
402.36134,-87.68429
420.78802,-87.68429
439.2147,-87.68429
457.64138,-87.68429
476.06806,-87.68429
494.49474,-87.68429
512.92142,-87.68429
531.34811,-87.68429
549.77479,-87.68429
568.20147,-87.68429
586.62815,-87.68429
605.05483,-87.68429
623.48151,-87.68429
641.90819,-87.68429
660.33487,-87.68429
678.76155,-87.68429
697.18823,-87.68429
715.61491,-87.68429
734.04159,-87.68429
752.46827,-87.68429
770.89495,-87.68429
789.32163,-87.68429
807.74831,-87.68429
826.17499,-87.68429
844.60167,-87.68429
863.02835,-87.68429
881.45503,-87.68429
899.88171,-87.68429
918.30839,-87.68429
936.73507,-87.68429
955.16175,-87.68429
973.58843,-87.68429
992.01511,-87.74665
