time,voltage
0,-87.14808
2.71698,-87.14808
3.77358,-58.59232
4.5283,-43.41865
6.03774,23.12614
7.54717,40.12797
17.35849,39.12249
44.5283,38.57404
71.69811,34.27788
98.86792,29.34186
126.03774,24.86289
153.20755,20.84095
180.37736,17.09324
207.54717,12.88848
234.71698,8.3181
261.88679,2.92505
289.0566,-4.11335
316.22642,-13.61974
341.13208,-24.36929
361.50943,-35.6947
377.35849,-46.70932
390.9434,-58.95795
404.5283,-73.03473
410.56604,-79.43327
422.64151,-85.7404
452.07547,-87.65996
479.24528,-87.65996
506.41509,-87.65996
533.58491,-87.65996
560.75472,-87.65996
587.92453,-87.65996
615.09434,-87.65996
642.26415,-87.65996
669.43396,-87.65996
696.60377,-87.65996
723.77358,-87.65996
750.9434,-87.65996
778.11321,-87.65996
805.28302,-87.65996
832.45283,-87.65996
859.62264,-87.65996
886.79245,-87.65996
913.96226,-87.65996
941.13208,-87.65996
968.30189,-87.65996
990.9434,-87.65996
1000,-87.65996
